Score,Rating,Title,Price,Median_Comp,Discount_%,Seller_Feedback,Sales_Count,Age_Days,Red_Flags,URL
0,ERROR,"1995-96 Topps Finest - Mystery Finest Michael Jordan #M 1 Bordered",66,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/336411098115?_skw=michael+jordan+topps+finest&hash=item4e53a9fc03:g:XSwAAeSwHVZpeqbx
0,ERROR,"1997 Topps Finest 287 Michael Jordan Creators Silver PSA 8 Chicago Bulls",105.98,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/336411956398?_skw=michael+jordan+topps+finest&hash=item4e53b714ae:g:rkwAAeSwIkZpe3H3
0,ERROR,"1994 Finest Michael Jordan PSA 9! Second Year Finest, MJ Greatest Ever!",250,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/236583438766?_skw=michael+jordan+topps+finest&hash=item371578c9ae:g:k~UAAeSw24hpaPlf
0,ERROR,"Topps 1996-97 Finest Uncommon Silver Michael Jordan #127 W/Coating PSA 7",75,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/117013072545?_skw=michael+jordan+topps+finest&hash=item1b3e85caa1:g:WBQAAeSwaytpf4qi
0,ERROR,"Michael Jordan 1994-95 Topps Finest Card #331- SGC Graded 5 EX (w/Coating/Bulls)",119.94,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/297792218227?_skw=michael+jordan+topps+finest&hash=item4555cca473:g:hLsAAeSw3JZpH4Yw
0,ERROR,"MICHAEL JORDAN 1995 Topps Finest Mystery #M1 Borderless PSA 6",97.99,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/326207116600?_skw=michael+jordan+topps+finest&hash=item4bf3759538:g:9FYAAOSwXupmnWh3
0,ERROR,"1996 FINEST W/COATING #50 MICHAEL JORDAN PSA 6",65.44,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/297972090304?_skw=michael+jordan+topps+finest&hash=item45608545c0:g:r7gAAeSwAx1pd9Wz
0,ERROR,"1995-96 Topps Finest #229 Michael Jordan Chicago Bulls (PEELED)",54.97,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/147126539696?_skw=michael+jordan+topps+finest&hash=item22416cd5b0:g:G8kAAeSwevBpfQbt
0,ERROR,"1994 Finest Michael Jordan #331 PSA 8 NM-MT W/Coating HOF GOAT Bulls",179.94,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/206044554376?_skw=michael+jordan+topps+finest&hash=item2ff9366488:g:qBgAAeSwGvNpgOvS
0,ERROR,"1998 TOPPS FINEST #81 MICHAEL JORDAN PSA 8",49.98,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/198069438339?_skw=michael+jordan+topps+finest&hash=item2e1ddbc783:g:m7IAAeSwhnhpfnHi
